gross_binned,budget_per_minute,likes_per_review,weighted_imdb_score,budget_score_ratio,likes_score_ratio,cluster
200M+,25000.0,0.0,157.5,199999.97333333734,0.0,2
10M-50M,1019801.9801980198,0.0,1017.6,16093747.485351954,0.0,3
10M-50M,575221.2389380531,0.0,1470.0,8666665.511111265,0.0,3
50M-100M,833333.3333333334,0.0,561.0,12878785.927456679,0.0,0
200M+,783582.0895522388,0.0,1386.9,15671639.451994114,0.0,2
10M-50M,672413.7931034482,8.558823529411764,168.29999999999995,15294114.648212817,57.05881234140929,0
50M-100M,751633.9869281045,0.0,912.0,19166663.472222753,0.0,0
10M-50M,924369.7478991597,0.0,1040.0,16923074.319527026,0.0,3
10M-50M,647058.8235294118,0.0,2002.5,14666664.711111374,0.0,3
50M-100M,916666.6666666666,0.0,1090.3999999999999,18965513.97146311,0.0,0
200M+,648484.8484848485,0.0,1183.2,15735291.80363356,0.0,2
50M-100M,670103.0927835051,0.0,1720.8,18055553.047839854,0.0,3
10M-50M,708661.4173228346,0.0,1137.5,13846151.71597666,0.0,3
10M-50M,703448.275862069,0.0,1940.4,13246751.526395906,0.0,3
100M-200M,574712.643678161,0.0,1716.8000000000002,13513511.687363284,0.0,3
10M-50M,568181.8181818182,0.0,2340.0,12820511.176857542,0.0,3
10M-50M,815602.8368794327,0.0,676.8000000000001,15972220.003858332,0.0,0
10M-50M,869565.2173913042,0.0,494.09999999999997,16393439.93550165,0.0,0
10M-50M,1098901.0989010988,0.0,552.0,14492751.522789635,0.0,0
200M+,1282051.282051282,0.0,1029.3,13698628.260461882,0.0,2
10M-50M,763358.7786259542,0.0,1331.7,14492751.522789635,0.0,3
10M-50M,826446.2809917355,0.0,777.6,18518515.08916387,0.0,0
200M+,813953.4883720931,0.0,1382.4,14583331.307870653,0.0,2
50M-100M,980392.1568627451,0.0,901.8000000000001,18518515.08916387,0.0,0
50M-100M,869565.2173913042,0.0,1835.4,14492751.522789635,0.0,3
50M-100M,90909.09090909091,5.897959183673471,708.1,1369862.8260461884,79.17807134546968,0
100M-200M,753846.1538461539,0.0,1272.6,15555553.086420145,0.0,2
200M+,462962.962962963,0.0,1747.5,13333331.55555579,0.0,2
200M+,684931.506849315,0.0,950.3,23255808.545160804,0.0,2
200M+,1067415.7303370787,0.0,565.8000000000001,13768113.946650151,0.0,2
10M-50M,1010869.5652173914,0.0,1168.2,15762709.192761153,0.0,3
200M+,841121.4953271028,0.0,1306.8,13636361.570248248,0.0,2
50M-100M,781021.897810219,6.55140186915888,636.0,17833330.361111607,116.83331386111433,0
100M-200M,918367.3469387755,0.0,1277.5,12328765.434415694,0.0,2
100M-200M,1000000.0,0.0,838.1999999999999,13636361.570248248,0.0,2
10M-50M,769230.7692307692,0.0,1221.0,15151512.855831388,0.0,3
10M-50M,1111111.111111111,0.0,1337.0,14285712.244898252,0.0,3
10M-50M,957446.8085106383,0.0,1316.0,12857141.020408425,0.0,3
10M-50M,978723.4042553192,0.0,995.5,16727269.685950968,0.0,3
10M-50M,760330.5785123967,0.0,2156.0,13142855.26530639,0.0,3
10M-50M,703125.0,0.0,1124.8,11842103.704986354,0.0,3
10M-50M,744680.8510638297,0.0,6.099999999999909,17213111.932276733,0.0,0
200M+,619834.7107438017,0.0,1909.8999999999999,10563378.79389031,0.0,2
10M-50M,796460.1769911505,0.0,1089.0,16363633.388430294,0.0,3
200M+,798319.3277310925,0.0,1026.0,16666663.74269057,0.0,2
200M+,625000.0,0.0,1452.8000000000002,12499998.046875304,0.0,2
200M+,811965.811965812,0.0,863.5,17272724.132231977,0.0,2
200M+,586206.8965517242,0.0,396.79999999999995,10967740.16649352,0.0,2
0-10M,807017.5438596491,0.0,994.0,13142855.26530639,0.0,1
200M+,789473.6842105263,0.0,1013.5999999999999,16071425.701531127,0.0,2
200M+,757575.7575757576,0.0,632.4,14705880.190311737,0.0,2
